name,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8
Лев,Хищник,Млекопитающее,Саванна,Крупное,Рычание,Желтый мех,Сильные лапы,Темная грива
Обезьяна,Травоядное,Млекопитающее,Леса,Маленькое,Крики,Шерсть,Лазание,Гибкий хвост
Дельфин,Хищник,Млекопитающее,Океан,Среднее,Щелчки,Серая кожа,Плавательный хвост,Объемные щупальца
Жираф,Травоядное,Млекопитающее,Саванна,Крупное,Высокая шея,Пятнистая шерсть,Длинные ноги,Короткая грива
Крокодил,Хищник,Рептилия,Болота,Крупное,Лапы,Чешуя,Острый зубастый рот,Хвост
Попугай,Травоядное,Птица,Леса,Маленькое,Перья,Яркое оперение,Голосистый,Летает
Слон,Травоядное,Млекопитающее,Леса,Крупное,Труба,Серая кожа,Крупные уши,Длинный хобот
Коала,Травоядное,Млекопитающее,Деревья,Маленькое,Лазание,Мягкая шерсть,Большие глаза,Обаятельный вид
Акула,Хищник,Рыба,Океан,Среднее,Плавники,Чешуя,Острый хвост,Большие плавники
Панда,Травоядное,Млекопитающее,Леса,Среднее,Черные глаза,Черно-белая шерсть,Круглые ушки,Бамбуковый лакомый уголок
Гепард,Хищник,Млекопитающее,Саванна,Среднее,Быстрый бег,Пятнистая шерсть,Длинные ноги,Черные полосы на лице
Кролик,Травоядное,Млекопитающее,Поля,Маленькое,Скачущий,Мягкая шерсть,Длинные уши,Крупные задние лапы
Кобра,Хищник,Рептилия,Пустыни,Среднее,Ядовитый укус,Чешуя,Шипастый хвост,Широкая шея
Лиса,Хищник,Млекопитающее,Леса,Среднее,Лисичьи крики,Рыжая шерсть,Хитрая мордочка,Пушистый хвост
Пингвин,Травоядное,Птица,Ледяные районы,Среднее,Ходит,Черно-белое оперение,Короткие лапы,Клюв
Капибара,Травоядное,Млекопитающее,Болота,Крупное,Плавание,Коричневая шерсть,Круглые глаза,Короткие ноги
Тигр,Хищник,Млекопитающее,Джунгли,Среднее,Рычание,Полосатая шерсть,Острые клыки,Хвост с полосами
Коала,Травоядное,Млекопитающее,Деревья,Маленькое,Лазание,Мягкая шерсть,Большие глаза,Обаятельный вид
Орел,Хищник,Птица,Горы,Среднее,Летает,Перья,Острые когти,Широкие крылья
Кенгуру,Травоядное,Млекопитающее,Австралия,Среднее,Прыгает,Шерсть,Длинные ноги,Мешок для младенцев
Лама,Травоядное,Млекопитающее,Горы,Среднее,Гуляет,Шерсть,Длинная шея,Короткая мордочка
Олень,Травоядное,Млекопитающее,Леса,Среднее,Рога,Бурая шерсть,Грациозные ноги,Хвост с белым кончиком
Гиппопотам,Травоядное,Млекопитающее,Реки,Крупное,Плавание,Толстая кожа,Широкая морда,Короткие ноги
Снежный барс,Хищник,Млекопитающее,Горы,Среднее,Рычание,Длинный хвост,Толстая шерсть,Острые когти
Фламинго,Травоядное,Птица,Болота,Среднее,Стояние на одной ноге,Розовое оперение,Длинная шея,Клюв
Осел,Травоядное,Млекопитающее,Степи,Среднее,Ворчит,Коричневая шерсть,Длинные уши,Крепкий копыто
Коала,Травоядное,Млекопитающее,Деревья,Маленькое,Лазание,Мягкая шерсть,Большие глаза,Обаятельный вид
Камчатский медведь,Хищник,Млекопитающее,Арктика,Крупное,Большие лапы,Белая шерсть,Длинный хвост,Острые когти
Кенгуру,Травоядное,Млекопитающее,Австралия,Среднее,Прыгает,Шерсть,Длинные ноги,Мешок для младенцев
Вомбат,Травоядное,Млекопитающее,Австралия,Среднее,Копает,Толстая шерсть,Короткие ноги,Широкая морда
Кошка,Хищник,Млекопитающее,Домашняя,Маленькое,Мурлыканье,Мягкая шерсть,Острые когти,Глаза зеленые
Слоноход,Травоядное,Млекопитающее,Леса,Крупное,Труба,Серая кожа,Широкие ноги,Длинный хвот
Жаба,Травоядное,Земноводное,Болота,Маленькое,Кваканье,Слизистая кожа,Длинные задние ноги,Большие глаза
Пума,Хищник,Млекопитающее,Горы,Среднее,Рычание,Короткая шерсть,Гибкий хвост,Острые когти
Крокодил,Хищник,Рептилия,Реки,Крупное,Лапы,Чешуя,Острый зубастый рот,Хвост
Кенгуру,Травоядное,Млекопитающее,Австралия,Среднее,Прыгает,Шерсть,Длинные ноги,Мешок для младенцев
Левша,Хищник,Млекопитающее,Саванна,Крупное,Рычание,Короткая шерсть,Мускулистая морда,Крупные лапы
Антилопа,Травоядное,Млекопитающее,Саванна,Среднее,Скакание,Короткая шерсть,Длинные рога,Грациозные ноги
Медведь-гризли,Хищник,Млекопитающее,Леса,Крупное,Рычание,Коричневая шерсть,Мощные лапы,Крупная морда
Пингвин,Травоядное,Птица,Ледяные районы,Среднее,Ходит,Черно-белое оперение,Короткие лапы,Клюв